;VlrCond;Garagem;Preco;Quarto;M2;Bairro
442;10;2;499000;2;50;Planalto
443;198;1;155000;2;50;Sao Joao Batista
444;340;1;160000;2;50;Sao Joao Batista
445;154;1;165000;2;50;Santa Monica
446;10;2;275000;2;50;Santa Branca
447;10;2;399000;2;50;Santa Branca
448;10;2;429000;2;50;Santa Branca
449;1;2;270000;2;50;Santa Amalia
450;1;1;385000;2;50;Santa Amalia
451;250;2;370000;2;50;Santa Branca
452;0;1;320000;3;50;Planalto
453;0;1;150000;2;50;JardimVitoria
454;0;1;176500;2;50;JardimVitoria
455;0;1;299000;2;50;Jardim Atlantico
456;10;1;199000;2;50;Copacabana
457;280;1;250000;2;50;Minaslandia
458;0;1;160000;2;50;Pampulha
459;0;0;439800;1;50;Uniao
460;320;1;160000;2;50;Serrano
461;380;1;220000;2;50;Lagoinha
462;0;2;380000;2;50;Concordia
463;0;1;260000;2;50;Sagrada Familia
464;494;1;315000;2;50;Horto
465;320;0;210000;1;50;Centro
466;350;0;230000;1;50;Centro
467;502;0;196000;1;50;Barro Preto
468;240;1;180000;2;50;California
469;350;2;780000;2;50;Savassi
470;220;1;230000;2;50;Sao Lucas
471;0;0;1300;1;50;Savassi
472;0;0;400000;1;50;Santo Agostinho
473;490;0;365000;1;50;Savassi
474;0;0;320000;1;50;Santa Lucia
475;300;1;170000;2;50;Camargos
476;0;1;486779;2;50;Anchieta
477;0;0;430000;1;50;Savassi
478;0;0;450000;2;50;Savassi
479;600;1;300000;1;50;Santo Antonio
480;0;1;504444;2;50;Sao Pedro
481;500;1;329000;2;50;Santo Antonio
482;150;1;185000;2;50;Estrela do Oriente
483;0;1;295000;2;50;Cinquentenario
484;280;1;230000;2;50;Estoril
485;130;1;170000;2;50;Betania
486;360;2;350000;2;50;Buritis
487;360;2;350000;2;50;Buritis
488;375;1;210000;2;50;Buritis
489;240;1;170000;2;50;Bonsucesso
490;200;1;150000;2;50;Teixeira Dias Barreiro
491;1;2;550000;3;51;Candelaria
492;0;2;315000;2;51;Sao Joao Batista
493;0;4;469000;3;51;Santa Monica
494;0;2;420000;3;51;Santa Monica
495;205;1;195000;2;51;Planalto
496;0;1;239000;2;51;Sao Gabriel
497;337;1;260000;2;51;Jaragua
498;250;1;245000;2;51;Itatiaia
499;220;1;279000;2;51;Ipiranga
500;178;1;245000;2;51;Castelo
501;0;0;180000;1;51;Sagrada Familia
502;1;1;280024;2;51;Sao Geraldo
503;0;2;299192;2;51;Sao Geraldo
504;10;2;276000;2;51;Santa Monica
505;448;1;329500;2;51;Nova Suica
506;448;1;330000;2;51;Nova Suica
507;0;1;339200;1;51;Funcionarios
508;200;1;189000;2;51;Vila Oeste
509;650;1;300000;1;51;Santo Antonio
510;220;1;210000;2;51;Vila Oeste
511;200;1;179000;2;52;Santa Monica
512;10;1;260000;2;52;Santa Monica
513;150;1;140000;2;52;Jardim Leblon
514;10;2;669000;3;52;Planalto
515;270;1;259900;2;52;Minaslandia
516;0;1;260000;2;52;Fernao Dias
517;240;1;230000;2;52;Castelo
518;220;1;255000;3;52;Sagrada Familia
519;670;2;760000;1;52;Lourdes
520;10;2;518000;2;52;Santa Efigenia
521;0;2;415000;2;52;Coracao Eucaristico
522;403;0;159000;1;52;Barro Preto
523;145;1;319000;2;52;Nova Suica
524;160;1;419000;2;52;Nova Suica
525;1;2;690000;2;52;Savassi
526;250;2;700000;2;52;Savassi
527;250;1;766500;2;52;Savassi
528;0;2;669000;1;52;Funcionarios
529;275;2;800000;2;52;Savassi
530;200;1;180000;2;52;Nova Gameleira
531;992;1;632026;1;52;Luxemburgo
532;341;2;760000;2;52;Anchieta
533;265;1;240000;2;52;Betania
534;170;1;259850;2;52;Estrela Dalva
535;243;1;270000;2;52;Buritis
536;250;1;245000;2;52;Diamante
537;250;1;225000;2;52;Araguaia
538;205;1;185000;2;52;Diamante
539;0;0;130000;1;53;Centro
540;50;1;155000;2;53;Canaa
541;125;1;150000;2;53;Piratininga Venda Nova
542;1;4;469000;3;53;Santa Monica
543;1;1;273000;2;53;Santa Branca
544;1;1;277000;2;53;Santa Branca
545;1;1;290000;2;53;Santa Branca
546;1;1;293000;2;53;Santa Branca
547;1;2;299000;2;53;Santa Branca
548;0;1;290000;2;53;Santa Amalia
549;0;1;390000;2;53;Santa Branca
550;0;2;745000;2;53;Savassi
551;0;1;435000;2;53;Ouro Preto
552;200;0;199000;2;53;Fernao Dias
553;314;1;290000;2;53;Serrano
554;200;1;250000;2;53;Castelo
555;250;1;255000;2;53;Sagrada Familia
556;400;1;300000;2;53;Sagrada Familia
557;652;1;265000;2;53;Sagrada Familia
558;620;1;320000;2;53;Sagrada Familia
559;0;3;342000;2;53;Carlos Prates
560;0;2;349000;2;53;Carlos Prates
561;0;2;354000;2;53;Carlos Prates
562;0;2;361000;2;53;Carlos Prates
563;0;2;379000;2;53;Carlos Prates
564;0;2;397000;2;53;Carlos Prates
565;242;1;230000;2;53;Sagrada Familia
566;280;1;340000;2;53;Sagrada Familia
567;412;2;380000;2;53;Horto
568;300;1;370000;2;53;Santa Tereza
569;480;1;1200;2;53;Floresta
570;250;1;260000;3;53;Padre Eustaquio
571;150;1;220000;2;53;Joao Pinheiro
572;0;0;54000;1;53;Savassi
