Price;Condo;Size;Rooms;Toilets;Suites;Parking;Elevator;Furnished;Swimming Pool;New;District;Negotiation Type;Property Type;Latitude;Longitude
540000;600;50;2;2;1;1;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.569.867;-465.916.084
920000;900;112;3;2;1;2;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.616.363;-466.015.043
713990;530;86;2;2;1;1;0;0;0;0;Mooca/São Paulo;sale;apartment;-2.355.736;-466.046.844
745000;750;92;3;2;1;2;0;0;1;0;Mooca/São Paulo;sale;apartment;-23.561.991;-465.871.744
435000;0;52;2;1;0;1;1;0;1;1;Mooca/São Paulo;sale;apartment;-235.471.924;-466.056.923
990000;990;118;3;4;3;2;1;0;1;0;Mooca/São Paulo;sale;apartment;-235.584.436;-465.934.512
460000;600;63;2;2;1;1;0;0;1;0;Mooca/São Paulo;sale;apartment;-23.559.749;-465.828.386
705000;0;132;3;2;1;1;0;0;0;0;Mooca/São Paulo;sale;apartment;-235.696.671;-465.915.167
399000;550;60;2;2;1;1;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.659.633;-465.913.333
850000;700;110;3;4;1;2;1;0;1;0;Mooca/São Paulo;sale;apartment;-235.676.248;-465.836.587
530000;1300;107;2;2;1;1;0;0;0;0;Mooca/São Paulo;sale;apartment;-235.671.568;-465.913.476
425000;450;64;2;2;1;2;1;0;1;0;Mooca/São Paulo;sale;apartment;-235.577.328;-465.815.283
900000;970;112;3;2;1;2;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.564.048;-46.606.369
526000;400;70;2;2;1;1;0;0;1;0;Mooca/São Paulo;sale;apartment;0.0;0.0
495000;0;60;2;2;1;2;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.618.727;-465.801.711
350000;600;79;2;1;0;1;0;0;0;0;Mooca/São Paulo;sale;apartment;-235.803.283;-465.915.894
1000000;820;122;3;3;2;2;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.623.176;-466.037.017
636000;0;74;2;2;1;2;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.552.465;-465.883.667
420000;0;63;2;1;0;1;1;0;0;0;Mooca/São Paulo;sale;apartment;-235.673.715;-465.799.297
459400;0;68;3;2;1;1;1;0;1;1;Mooca/São Paulo;sale;apartment;-235.471.924;-466.056.923
670000;1480;110;3;2;1;2;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.633.306;-46.594.232
827900;0;109;3;4;3;2;0;0;1;0;Mooca/São Paulo;sale;apartment;0.0;0.0
270000;250;35;1;2;1;1;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.560.586;-466.194.463
999000;1800;190;2;3;2;3;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.585.862;-466.001.676
560000;750;110;2;1;0;1;0;1;0;0;Mooca/São Paulo;sale;apartment;-235.608.778;-466.015.356
550000;770;80;3;2;1;2;0;1;1;0;Mooca/São Paulo;sale;apartment;-235.568.517;-466.043.505
531000;505;70;2;2;1;1;1;0;1;1;Mooca/São Paulo;sale;apartment;0.0;0.0
550000;500;63;2;2;1;2;1;0;1;0;Mooca/São Paulo;sale;apartment;0.0;0.0
689900;500;86;3;2;1;1;0;0;1;0;Mooca/São Paulo;sale;apartment;-2.355.736;-466.046.844
620000;638;76;3;2;1;2;0;1;1;0;Mooca/São Paulo;sale;apartment;-235.515.271;-466.021.199
410000;360;63;3;2;1;1;0;1;1;0;Mooca/São Paulo;sale;apartment;-235.496.259;-466.113.732
229310;480;60;2;1;0;1;1;0;0;0;Mooca/São Paulo;sale;apartment;-235.537.483;-466.220.122
580000;1368;125;3;2;1;1;0;0;1;0;Mooca/São Paulo;sale;apartment;-23.561.358;-465.985.842
270000;300;77;2;1;0;1;1;0;0;0;Mooca/São Paulo;sale;apartment;-235.544.909;-465.933.179
490245;550;65;2;2;1;1;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.618.259;-465.801.923
530000;0;68;2;2;1;2;0;0;0;0;Mooca/São Paulo;sale;apartment;-235.703.151;-465.759.618
320000;740;55;2;1;0;1;0;0;1;0;Mooca/São Paulo;sale;apartment;-235.585.178;-465.948.037
480000;0;72;3;1;0;1;1;0;0;0;Mooca/São Paulo;sale;apartment;-235.587.624;-465.941.499
1408000;1600;108;2;3;2;2;0;0;0;0;Brooklin/São Paulo;sale;apartment;-236.040.517;-466.948.844
579000;390;63;2;2;1;1;0;0;1;0;Brooklin/São Paulo;sale;apartment;-23.622.119;-46.686.306
670000;790;63;2;2;1;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-235.634.559;-466.408.459
540000;1000;75;2;1;0;1;0;0;0;0;Brooklin/São Paulo;sale;apartment;-23.605.129;-46.692.501
1400000;1200;125;3;4;3;3;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.223.085;-466.956.178
980000;1200;83;1;2;1;1;0;1;1;0;Brooklin/São Paulo;sale;apartment;-236.099.141;-466.816.952
870000;900;97;3;2;1;1;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.110.106;-466.825.191
1800000;2090;158;2;3;2;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.116.456;-466.787.316
1400000;1850;152;3;3;2;3;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.122.223;-466.826.425
640000;880;59;2;2;1;1;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.108.304;-466.873.233
1300000;1900;136;3;3;2;3;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.075.553;-466.916.043
926012;700;79;2;2;1;2;0;0;0;0;Brooklin/São Paulo;sale;apartment;-236.251.021;-466.930.767
1260545;1500;105;3;4;3;2;1;0;0;0;Brooklin/São Paulo;sale;apartment;-236.251.021;-466.930.767
1198000;1450;119;2;2;1;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.000.081;-466.878.647
